*Vertices 168
60 58 600.0
60 88 200.0
60 144 200.0
61 28 7.0
61 65 0.09
61 66 400.0
63 28 26.0
63 64 400.0
62 28 9.0
62 30 8.0
62 44 2.0
62 58 1600.0
62 60 0.04
66 28 3.0
66 65 0.03
69 67 1600.0
70 67 400.0
67 54 0.16
67 68 0.02
67 69 0.02
67 70 0.03
72 71 600.0
72 79 1100.0
73 57 0.08
71 5 6.0
71 6 4.0
71 7 34.0
71 17 0.004
71 28 31.0
71 30 2.0
71 52 1000.0
71 53 0.1
71 55 0.08
71 63 200.0
71 65 0.02
71 66 200.0
71 72 1.3
71 73 0.2
71 74 400.0
71 79 5500.0
76 57 0.08
75 5 6.0
75 10 4.0
75 17 0.004
75 28 45.0
75 29 37.0
75 45 4.0
75 50 0.66
75 52 1000.0
75 53 0.08
75 55 0.1
75 63 200.0
75 65 0.02
75 66 200.0
75 76 0.21
75 77 400.0
75 79 5100.0
75 85 0.02
80 78 1800.0
80 79 2600.0
80 83 0.21
81 79 1100.0
81 80 0.06
81 83 0.09
82 79 1100.0
82 80 0.06
82 83 0.09
79 78 20600.0
79 81 0.02
79 82 0.02
79 83 0.22
84 58 700.0
86 30 2.0
86 62 600.0
87 5 3.0
87 44 4.0
88 58 400.0
88 89 0.1
88 90 0.09
91 3 10.0
91 17 0.004
91 28 4.0
91 29 29.0
91 79 2300.0
91 86 3600.0
93 92 0.06
94 87 0.06
94 92 0.06
95 5 3.0
95 28 18.0
95 29 4.0
92 50 0.03
92 75 300.0
96 52 300.0
96 119 0.03
100 1 4.0
100 28 3.0
101 1 4.0
101 28 3.0
102 6 6.0
103 1 4.0
103 28 3.0
104 7 4.0
104 28 15.0
105 1 4.0
105 28 3.0
106 6 6.0
107 28 3.0
107 61 400.0
107 65 0.03
108 6 15.0
109 6 6.0
99 6 6.0
99 7 3.0
99 39 0.004
99 71 600.0
99 104 0.03
111 110 0.06
112 4 4.0
112 28 3.0
113 4 4.0
113 28 3.0
114 4 4.0
114 28 3.0
115 75 600.0
116 4 4.0
116 28 3.0
117 4 4.0
117 28 6.0
118 10 6.0
119 28 15.0
119 29 4.0
120 28 3.0
120 65 0.03
120 66 400.0
121 10 21.0
122 75 600.0
124 4 4.0
124 28 3.0
125 4 4.0
125 28 6.0
126 75 600.0
110 4 9.0
110 10 6.0
110 29 3.0
110 36 0.004
110 75 900.0
110 76 0.03
110 119 0.03
127 79 300.0
128 4 4.0
